biasaaa,biasa
sistemsubsisdi,sistem subsidi
brrt,berarti
nyelenggarain,menyelenggarakan
dtggu,ditunggu
inii,ini
nm,nama
gede,besar
d,di
terusss,terus
gegera,gegara
anjingnyaa,anjingnya
bapa,bapak
eehhh,eh
nyadar,sadar
amiiiiinnn,aamiin
dirubah,diubah
abiss,habis
mabok,mabuk
bangets,banget
rana,ranah
ngalahin,mengalahkan
mngerti,mengerti
kusem,kusam
kaga,kagak
shabat,sahabat
gakkk,enggak
ngeuh,engah
yep,ya
lucux,lucunya
dapetin,mendapati
kakkkk,kak
baperr,bawa perasaan
mksdku,maksudku
atuhhh,atuh
ndassss,ndas
kepppoin,kepoi
samara,sakinah mawadah rahman
malangg,malang
sebenernya,sebenarnya
yachhh,ya
entr,entar
niiih,nih
tnang,tenang
penbelian,pembelian
temen2,teman-teman
payaaahhhh,payah
dwh,deh
lyt,lihat
buka2,buka-buka
ngis,nangis
mngasi,mengasih
sklh,sekolah
sby,surabaya
bng,bang
mkir,memikir
yappp,ya
wkakaka,wkwk
ngomongnya,mengomongnya
make,memakai
sampw,sampai
skli,sekali
ditnyain,ditanyain
biza,bisa
mti,mati
sori,sorry
beud,banget
polling,poling
bandingin,bandingkan
looohh,loh
klen,kalian
gimna,bagaimana
cantiikk,cantik
owh,oh
kluarga,keluarga
sekolahin,sekolahkan
yoo,ya
kalii,kali
mbaak,mbak
jungjunganlu,junjunganmu
mjd,menjadi
apus,hapus
hmmm,hmm
aja,saja
pastii,pasti
akn,akan
kesinii,kesini
bkan,bukan
gpp,tidak apa apa
sbnyak,sebanyak
lbih,lebih
seksii,seksi
ampuuun,ampun
malh,malah
gapake,enggak pakai
bntu,bantu
mff,maaf
miriiippp,mirip
perubut,perebut
masa2,masa-masa
ngatai,mengatai
lain2,lain-lain
siih,sih
begete,banget
urusin,mengurusi
ituuuu,itu
aminn,aamiin
mboizzz,bois
ingt,ingat
liatt,lihat
bilanh,bilang
ajaa,saja
anjiingg,anjing
betul2,betul-betul
klean,kalian
sorryyyy,sorry
bijimana,bagaimana
kebarat2an,kebarat-baratan
ngriii,mengiri
britanya,beritanya
abg,abang
kanggen,kangen
iiih,ih
siiiiiiippppppppp,sip
celenggg,celeng
bowo,prabowo
sekrng,sekarang
sbuah,sebuah
suarranya,suaranya
bikinnn,bikin
samaa,sama
prwtn,perawatan
btuh,butuh
perna,pernah
kacaaaa,kaca
cantikkkm,cantik
adkah,adakah
kemuh,kamu
cntikk,cantik
kesalahanny,kesalahannya
parte,partai
krenn,keren
ngehujat,menghujat
akuhh,aku
mengunakan,menggunakan
baik2nya,baik-baiknya
dalem2,dalam-dalam
jari2,jari-jari
hahahahaaaa,haha
bole,boleh
smga,semoga
kq,kok
cakeeeeppp,cakep
lhooo,loh
dapet,dapat
sihhh,sih
ngiri,mengiri
knyataan,kenyataan
kt,kita
jadulnya,jaman dulunya
lkuin,lakukan
krng,kurang
bngtt,banget
buuun,bun
menjelekan,menjelekkan
pede,percaya diri
bgni,begini
hpus,hapus
tiga2nya,tiga-tiganya
kyk.a,kayaknya
berjinah,berzina
idung,hidung
ddpt,didapat
kakk,kakak
perasaanny,perasaannya
sktika,seketika
puyeng,pusing
tukan,tukang
bagaimanaaa,bagaimana
nanggung2,nanggung-nanggung
ngerayain,merayakan
sangt,sangat
asyikkkkk,asyik
haragain,menghargai
kepad,kepada
nikahin,menikahi
negara2,negara-negara
munafikk,munafik
bju,baju
nobar,menonton bareng
masig,masing
bismillh,bismillah
bkal,bakal
palgi,apalagi
krudungan,kerudungan
"nutup""in",menutup-nutupi
tumpe2,tumpah-tumpah
shat,sehat
salammmm,salam
difotoin,difoto
bener-bener,benar-benar
komenx,komennya
hotak,botak
rata2,rata-rata
ujg,ujung
maksir,menaksir
sdkt,sedikit
kdg2,kadang-kadang
keepannya,kedepannya
kadrn,kadrun
paak,pak
aaaah,ah
brtngkar,bertengkar
cyin,cinta
trjd,terjadi
tah,teh
ayahh,ayah
novembr,november
ntaf,mantap
liat'y,lihatnya
isyunya,isunya
emng,memang
mahall,mahal
inghinn,ingin
jwb,jawab
trus,terus
ilang-in,hilangkan
narik,menarik
batre,baterai
doaang,doang
kreative,kreatif
iu,itu
sampai2,sampai-sampai
kareno,karena
shbt,sahabat
ntn,menonton
kereeeen,keren
loncattt,loncat
teguran2,teguran-teguran
uitnya,duitnya
bukar,bukan
kebukti,terbukti
kau,kamu
nunggu,menunggu
nyela,mencela
jeniuss,jenius
luco,lucu
kmu,kamu
serem,seram
haduuuh,haduh
"ngomong""",ngomong-ngomong
lagu'y,lagunya
cumn,cuman
ginting,ganteng
kmren,kemarin
ori,orisinal
halangin,halangi
sia2kan,sia-siakan
jaaangan,jangan
cino,cina
ngaur,ngawur
ulangin,mengulangi
diapain,diapakan
maenin,memainkan
tanteny,tantenya
"artist""",artis-artis
lebib,lebih
ujunggg,ujung
tgmbar,tergambar
dg,dengan
tetapppp,tetap
jelasssss,jelas
nanget,banget
negri,negeri
klau,kalau
bangedt,banget
sampek,sampai
sayangkuuuuu,sayangku
semuannyaaa,semuanya
"jelek""in",menjelek-jelekkan
cocokkkk,cocok
ujung2,ujung-ujung
hapusin,hapuskan
blombergdapat,bloomberg dapat
dpt,dapat
keles,kali
lbih,lebih
syediih,sedih
aje,saja
beneran,benaran
kesampean,kesampaian
bapak2,bapak-bapak
bkln,bakalan
tapu,tapi
temennya,temannya
jelase,jelas
boro2,boro-boro
kerennnnn,keren
seru2,seru-seru
didpt,didapat
mikirin,memikirkan
cock,cocok
oke,ok
jooozzz,jos
pokonya,pokoknya
mtanya,matanya
pacaranya,pacarannya
sbab,sebab
indonesiaaa,indonesia
donks,dong
br,baru
ngakak,mengakak
aj,saja
kocakkkkkk,kocak
siapayahh,siapa ya
smp,sampai
brsama,bersama
nggeh,engah
tyunggulah,tunggulah
skaligus,sekaligus
"kata""",kata-kata
mg,moga
seklian,sekalian
pdhl,padahal
taeekk,tai
s,si
ndak,tidak
sprti,seperti
kayakk,kayak
wawwwww,wow
bisaaa,bisa
cirikhas,ciri khas
khdpn,kehidupan
hijaabbb,hijab
agk,agak
benerrr,benar
bhagaia,bahagia
pngen,ingin
diaa,dia
ska,suka
utk,untuk
toh,kan
dech,deh
tuk,untuk
dtnggu,ditunggu
tmpt,tempat
hrus,harus
eeeh,eh
siapa2,siapa-siapa
kmana2,kemana-mana
rame2,rame-rame
mrekaa,mereka
uhhh,uh
mengait2kan,mengait-ngaitkan
adaa,ada
yak,ya
manusiy,manusia
gebenur,gubernur
jelekin,menjelekkan
nyebut2,menyebut-nyebut
hihihii,hihi
kuy,yuk
ngarsipin,mengarsipkan
aahhh,ah
mw,mau
ngamatin,mengamati
nngis,nangis
ngelihatnya,melihatnya
mantep,mantap
kliatanya,kelihatannya
degeur,dengar
waaawwww,wow
mksud,maksud
"mentang""",mentang-mentang
mataloooo,matalu
mrip,mirip
miring2,miring-miring
bangeet,banget
sianies,si anies
smuanya,semuanya
sblmnya,sebelumnya
mksdnya,maksudnya
gituh,begitu
kgeeeen,kangen
sumai,suami
begok,bodoh
ngelihat,melihat
cek2,cek-cek
dua2nya,dua-duanya
hubngan,hubungan
dech,deh
pacarane,pacarannya
inshaa,insya
ketrunan,keturunan
kontlo,kontol
janji2,janji-janji
yuuuuk,yuk
"muka""",muka-muka
mirip2,mirip-mirip
pakaes,pks
trus,terus
macem,macam
hnya,hanya
ajj,saja
perkataaan,perkataan
hidiyah,hidayah
nambah,bertambah
andaaa,anda
iyaa,iya
pukulin,pukuli
dongg,dong
kaaaaaann,kan
dng,dengan
aamiiiiinnn,aamiin
satuuuuu,satu
gara2,gara-gara
cma,cuma
taek,tahi
waduuuuh,waduh
imuttzz,imut
sdgkn,sedangkan
kakanga,kakaknya
ape,apa
trll,terlalu
kelaluan,kelakuan
leh,boleh
bazengg,bajingan
ngkkkkkk,mengakak
kencqng,kencang
ja,saja
bakattt,bakat
sabarrr,sabar
comen,komen
kkader,kader
saltummmm,salah kostum
digantii,diganti
ngehargai,menghargai
bagii,bagi
takuuuuut,takut
uuhh,uh
"maki""",maki-maki
yuuk,yuk
sekali2,sekali-kali
gaje,enggak jelas
mitnah,memfitnah
ditutupin,ditutupi
kelahuran,kelahiran
gk,enggak
gimanaaa,bagaimana
udehh,sudah
psgn,pasangan
gemesnya,gemasnya
dienya,dianya
romantisny,romatisnya
spertinya,sepertinya
broo,bro
dua2nya,dua-duanya
bkerja,bekerja
disesuaikn,disesuaikan
temen2,teman-teman
s'lalu,selalu
kmrin,kemarin
masukin,memasukkan
gni,begini
emang,memang
muliany,mulianya
tahannn,tahan
niru,meniru
masyaallahhh,masyaallah
apkh,apakah
ngomomg,mengomong
wahhh,wah
bedua,berdua
positip,positif
bln,bulan
atu,satu
dtg,datang
dstu,disitu
cantinya,cantiknya
ndut,gendut
smga,semoga
slku,selaku
bundaa,bunda
telimakacih,terima kasih
benahin,membenahi
langgenh,langgeng
bnr,benar
lekong,laki
rasain,rasai
miin,min
nie,nih
elu,loe
abes,habis
pensaran,penasaran
sunggu,sungguh
kaciiaann,kasihan
smog,semoga
liaat,lihat
usa,usah
lamaaaaaa,lama
nyengir,menyengir
judulnyaa,judulnya
sbelum,sebelum
mantaaa,mantap
amin2,amin-amin
c,sih
suksea,sukses
awokawok,wkwk
laenny,lainnya
disiniii,disini
ntab,mantab
byk,banyak
chuaks,cuak
emessss,gemas
ntar,entar
krmh,ke rumah
pasangn,pasangan
mang,memang
kk,kakak
ayoo,ayo
inginkn,inginkan
tmn,teman
ngomentarin,mengomentari
bgtttt,banget
trutama,terutama
terhaaru,terharu
geneeee,begini
plisss,plis
neko2,neko-neko
sj,saja
kwkwkwkwk,wkwk
doeloe,dulu
nda,indak
jendess,janda
synk,sayang
mverikan,memberikan
yahh,ya
uedann,edan
artisnyaa,artisnya
kasian,kasihan
arghhh,ah
debay,adek bayi
lenje,lenjeh
slw,selow
lhir,lahir
banggain,banggakan
sia2,sia-sia
yee,ya
negri,negeri
maksd,maksud
kemabali,kembali
kata2nya,kata-katanya
ketauan,ketahuan
bngttt,banget
ntap,mantap
bcnda,bercanda
deket,dekat
kpnpun,kapanpun
aamiin,aamiin
bungkusin,bungkuskan
kmu,kamu
menjd,menjadi
buatin,membuat
yukkk,yuk
lwt,lewat
ganteung,ganteng
mskasih,terima kasih
sbelah,sebelah
kren,keren
"gtu""",begitu-gitu
dptnya,dapatnya
wkwkkwkw,wkwk
yaah,ya
nyari,mencari
q,ku
dibangga'in,dibangga-banggakan
kklau,kalau
rpt2,repot-repot
tua2,tua-tua
bngt,banget
yup,ya
kapabilitsny,kapabilitasnya
pillada,pilkada
ngapain,kenapa
"hati""",hati-hati
hnya,hanya
anak2,anak-anak
wado,waduh
prnah,pernah
senyumna,senyumnya
terburu2,terburu-buru
salahsatunya,salah satunya
siapapu,siapapun
gemesshzzzzhzzhzhzhsjssjs,gemas
bapaaaaak,bapak
donggg,dong
pusink,pusing
stuju,setuju
wkwkw,wkwk
bosenin,membosankan
kellen,kalian
kuaaatt,kuat
dimasukin,dimasuki
punyae,punyanya
oligargi,oligarki
mauuuuuuu,mau
gambarin,gambarkan
ckrng,sekarang
syukaaakkk,suka
bgmn,bagaimana
jaangan,jangan
bingits,banget
pilhan,pilihan
sptnya,sepertinya
bner2,benar-benar
surpey,survey
gayany,gayanya
nnton,menonton
terangkhn,terangkan
hdk,hendak
mnjijikaaaaaan,menjijikkan
kangeenn,kangen
woy,woi
bisa2,bisa-bisa
amiiin,aamiin
aje,saja
kcewa,kecewa
yapp,ya
skli,sekali
sekrang,sekarang
gans,ganteng
siape,siapa
haaah,hah
ykin,yakin
pemainy,pemainnya
kyk,seperti
entut,kentut
protestin,protestan
alak,kepala
trussss,terus
ats,atas
mslh,masalah
slamt,selamat
pantes,pantas
enakk,enak
termurahhh,termurah
payahh,payah
kaga,tidak
zonnk,zonk
yakk,ya
capa,sapa
imprt,import
yeeyy,yey
kebayang,terbayang
klu,kalau
babget,banget
dbnding,dibanding
srng,sering
asliiiii,asli
lucuukk,lucu
turahhhhh,turah
mantaaap,mantap
kutuu,kutu
klauu,kalau
belom,belum
dedek,adek
woooyy,woy
sendirinnya,sendirinya
seru2an,seru-seruan
kndung,kandung
kebnykan,kebanyakan
kyaknya,sepertinya
bwt,buat
rekomendain,rekomendasikan
tiba2,tiba-tiba
22nya,dua-duanya
kangeen,kangen
makannye,makannya
nyungseepp,nyungsep
mkst,maksud
bujukk,bujuk
massss,mas
comment2nya,komentar-komentarnya
ngademin,mengademkan
pandanginya,memandanginya
baaiikkk,baik
alloh,allah
km,kami
ambyaaaaaaaaaaaaar,ambyar
tu,itu
ama,sama
jadiiii,jadi
cem,macam
baek2,baik-baik
jjur,jujur
bajingan2,bajingan-bajingan
cabe2,cabe-cabe
elo,lo
gada,tidak ada
mst,mesti
sndiri,sendiri
jls2,jelas-jelas
cepet2,cepat-cepat
kloop,klop
gara2,gara-gara
lucunyah,lucunya
artix,artinya
iniiiiiiiiiiiiiii,ini
haduhhh,haduh
nantiii,nanti
lgsung,langsung
kem3nangan,kemenangan
idolaa,idola
alkhamdulilah,alhamdulillah
ddpat,didapat
mnta,minta
kpuasan,kepuasan
cocokkkkk,cocok
ampunn,ampun
jmlh,jumlah
rajin2,rajin-rajin
ponakn,ponakan
ngacam2,ngancam-ngancam
krna,karena
termuraaahhhh,termurah
azaab,azab
bangeer,banget
mksd,maksud
tdr,tidur
beeeeeh,beh
mulutnyaaa,mulutnya
muuuu,mu
luucuuu,lucu
awk,awak
dalil2,dalil-dalil
qu,ku
wkwkwkwkwkwkwk,wkwk
lakik,laki
sayyy,say
sichh,sih
gthu,begitu
kaliiiiiii,kali
kepoin,kepo
iyaaaa,iya
gimik,gimmick
guyssss,ges
caranga,caranya
trimakasih,terimakasih
mcm,macam
jngn,jangan
nunduk,menunduk
nontonx,menontonnya
hatii,hati
dosa2mu,dosa-dosamu
mengncang,mengencang
hahhaaa,haha
mnisss,manis
aamiiin,aamiin
yoo,ayo
ktemu,ketemu
telek,tai
kurng,kurang
baxot,bacot
wihhh,wih
bener,benar
prett,pret
praboro,prabowo
gemay,gemas
pnyaa,punya
orlaen,orang lain
cieee,cie
rasioal,rasional
bgm,bagaimana
kerenn,keren
smart,pintar
mk.a,makanya
mulya,mulia
sayaang,sayang
strees,stres
slh,salah
mbaaahhh,mbah
dipake,dipakai
tehh,teh
ngantar,mengantar
kesian,kasihan
sajaaaa,saja
kpleset,kepleset
cantiiikk,cantik
cooooooocok,cocok
bner,benar
ngebala,bala
do,di
ancooorrrr,hancur
nyambungin,menyambung
hahahaha,haha
nerusin,meneruskan
iiihh,ih
majuuu,maju
pelwak,pelawak
byk,banyak
smgaa,semoga
sedepp,sedap
mndpat,mendapat
hdp,hidup
kuatttt,kuat
mnerima,menerima
kocakkk,kocak
bt,buat
atassss,atas
skitar,sekitar
sblmnya,sebelumnya
terkenall,terkenal
trhdp,terhadap
kelus,kali
ngomong,mengomong
koentoellll,kontol
nyia2in,menyia-nyiakan
yaeelaahh,yaelah
nyebur,mencebur
surgaa,surga
piiink,pink
knp,kenapa
udah,sudah
segitunya,sebegitunya
kekgini,kayak begini
gosipin,menggosipkan
amiennn,amien
hehehheeh,hehe
nambahh,bertambah
masalahh,masalah
kpancing,terpancing
ungkapin,ungkapkan
tngh,tengah
kemakan,termakan
rupa2nya,rupa-rupanya
muna,munafik
krm,kirim
abizzz,habis
luaarrr,luar
wong2,wong-wong
janjutin,lanjutkan
kereenn,keren
hayooo,hayo
preeet,pret
iyh,iya
waduhhh,waduh
niiihh,nih
astagaaaaaaaa,astaga
nyaranin,menyarani
kegitan,kegiatan
nggali,menggali
masing2,masing-masing
gedabrus,nggedabrus
gmn,bagaiman
kemuskinan,kemiskinan
akuuu,aku
pipi'y,pipinya
sja,saja
spti,seperti
besarrrr,besar
gaush,tidak usah
dah,deh
kaloo,kalo
nyelesain,menyelesaikan
benda2,benda-benda
teruuss,terus
hadehhh,hadeh
jangn,jangan
inget,ingat
t4,tempat
ktny,katanya
nyangkutnya,menyangkutnya
kafeh,kafe
hallo,halo
sok2an,sok-sokan
selosih,selisih
pasati,pasti
bre,bro
nqomonq,ngomong
ggsan,gagasan
astauviruloh,astagfirullah
sama2,sama-sama
manusia2,manusia-manusia
bhkn,bahkan
maak,mak
brjdh,berjodoh
ciusss,serius
amohhh,kamu
dukungmah,dukung mah
sharusnya,seharusnya
tap8,tapi
teruuss,terus
kelas'a,kelasnya
"bangga""in",membangga-banggakan
hasilnyaaa,hasilnya
lengkapp,lengkap
kharismanya,karismanya
gapernah,tidak pernah
nafkahin,menafkahi
gugel,google
gausah,enggak usah
ketauan,ketahuan
berbakiti,berbakti
wihh,wih
guru2,guru-guru
kha,kah
sgtu,sebegitu
tmn2nya,teman-temannya
autuhh,tau tuh
bae2,baik-baik
jabatannn,jabatan
keche,kece
pgen,pengin
hahahha,haha
kecik,kecil
scpatny,secepatnya
hri,hari
cubanget,lucu banget
wooowww,wow
ngeh,engah
pemipin,pemimpin
silahkn,silakan
hedeh,hadeh
masiswa,mahasiswa
yu,yuk
haslnya,hasilnya
trlihat,terlihat
bkn,bikin
lucuuuuuuuuuu,lucu
tinggalin,tinggalkan
"kecil""",kecil-kecil
khidupan,kehidupan
dankal,dangkal
imuutt,imut
jilbabnye,jilbabnya
konten2,konten-konten
abal2,abal-abal
ber'expresi,berekspresi
pcaranya,pacarannya
kasi,kasih
gemmeeezzz,gemas
mcm,macam
nilai2,nilai-nilai
tntg,tentang
hilangv,hilang
durhaka2,durhaka-durhaka
astafirullah,astagfirullah
manteep,mantap
kl,kalau
fans2,fan-fan
bol3h,boleh
pokokna,pokoknya
nyampenya,sampainya
"jelas""",jelas-jelas
trserh,terserah
negoro,negara
klok,kalau
awokawokawok,wkwk
mmg,memang
trims,terima kasih
hallooo,halo
belain,membela
coment,komentar
ikut2an,ikut-ikutan
batesin,batasi
korub,korup
tambahin,tambahkan
klahiran,kelahiran
buth,butuh
paaak,pak
mdh2n,mudah-mudahan
emak2,ibu-ibu
wjh,wajah
kmauan,kemauan
sekaeang,sekarang
sweger,segar
mksh,terima kasih
bnda,bunda
ngecek,mengecek
kcwa,kecewa
ngegmesin,menggemaskan
kta,kata
therchakitty,tersakiti
dtang,datang
bolh,boleh
rasaiin,rasai
kaliannnnnn,kalian
ngasih,mengasih
dlu,dulu
omipin,pemimpin
lebh,lebih
lahhh,lah
ngidam,mengidam
jlek,jelek
kemarn,kemarin
yg,yang
ancurrr,hancur
mauu,mau
skluarga,sekeluarga
ceklist,ceklis
jk,jika
adax,adanya
qmu,kamu
